	q_id_0_what is the name of the model?	q_id_1_what user uploaded the model?	q_id_2_when was the model created/uploaded?	q_id_3_what tasks can the model solve?	q_id_4_what datasets was the model trained on?	q_id_5_what was the split distribution for the datasets?	q_id_6_what datasets were used to finetune the model?	q_id_7_what datasets were used to retrain the model?	q_id_8_what model is used as the base model?	q_id_9_what evaluation metrics were used?	q_id_10_what were the values of the evaluation metrics?	q_id_11_what hyperparameters were optimized during the training process?	q_id_12_what hyperparameters values were selected?	q_id_13_what publications are related to the model?	q_id_14_where is the model deployed?	q_id_15_what use license is associated with the model?	q_id_16_what languages does the model work with?	q_id_17_what software libraries were used for the model to work?	q_id_18_who created the model?
0	{'data': 'pysentimiento/robertuito-sentiment-analysis', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': 'pysentimiento', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': Timestamp('2022-03-02 23:29:05+0000', tz='UTC'), 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': '| 0.670 ± 0.006', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 1.177582831246582e-08}]	{'data': {'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': {'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'RoBERTa', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.45697927474975586}]	[{'data': 'Macro F1 scores', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.0034985386300832033}]	[{'data': 'Results are expressed as Macro F1 scores', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 8.506868471158668e-05}]	[{'data': '500 million tweets', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 2.9859666028642096e-06}]	[{'data': 'Macro F1 scores', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 1.1390715570769316e-07}]	{'data': ['2106.09462'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'Spanish tweets', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.001176113961264491}]	{'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['es'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['pytorch', 'safetensors'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'pysentimiento import', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.0006038030842319131}]
1	{'data': 'cardiffnlp/twitter-roberta-base-sentiment-latest', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': 'cardiffnlp', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': Timestamp('2022-03-15 01:21:58+0000', tz='UTC'), 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['text classification'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['tweet_eval'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	"[{'data': ""t = '@user'"", 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.005795312579721212}]"	{'data': {'data': ['tweet_eval'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': {'data': ['tweet_eval'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'RoBERTa-base', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.032325588166713715}]	[{'data': 'System Demonstrations', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 1.642551796976477e-05}]	[{'data': '251--260', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.031056080013513565}]	[{'data': '124M', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 4.464515313884476e-06}]	[{'data': '251--260', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.00035310868406668305}]	{'data': ['2202.03829'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'Dublin, Ireland', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.0015904769534245133}]	{'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['en'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['transformers', 'pytorch'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'Francesco  and\n      Neves, Leonardo  and\n      Espinosa Anke', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.006244889460504055}]
2	{'data': 'jonatasgrosman/wav2vec2-large-xlsr-53-english', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': 'jonatasgrosman', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': Timestamp('2022-03-02 23:29:05+0000', tz='UTC'), 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['automatic speech recognition'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['common_voice', 'mozilla-foundation/common_voice_6_0'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'Common Voice 6.1', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.2762572467327118}]	{'data': {'data': ['common_voice', 'mozilla-foundation/common_voice_6_0'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': {'data': ['common_voice', 'mozilla-foundation/common_voice_6_0'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'XLSR-53', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.002199214417487383}]	[{'data': 'en\n    metrics', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 8.480140240862966e-05}]	[{'data': '## Evaluation\n\n1', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.02585449628531933}]	[{'data': '16kHz', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 3.494284896987665e-07}]	[{'data': 'input_values, attention_mask=inputs', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 1.876708211057121e-06}]	{'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'directly', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 1.9328557755216025e-05}]	{'data': ['apache-2.0'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['en'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['transformers', 'pytorch', 'jax', 'safetensors'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'jonatasgrosman', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.6643452048301697}]
3	{'data': 'openai/clip-vit-large-patch14', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': 'openai', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': Timestamp('2022-03-02 23:29:05+0000', tz='UTC'), 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['zero shot image classification'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': '~93% for racial classification and ~63%', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.11769309639930725}]	{'data': {'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': {'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'ViT-L/14 Transformer architecture', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.34699735045433044}]	[{'data': 'linear probes', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.16540269553661346}]	[{'data': 'to evaluate performance of the model across people and surface potential risks', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.06842001527547836}]	[{'data': 'zero-shot', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 4.65692835405207e-08}]	[{'data': 'accuracy', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.006655152887105942}]	{'data': ['2103.00020', '1908.04913'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'within', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.02839803323149681}]	{'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['transformers', 'pytorch', 'jax', 'safetensors'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'researchers at OpenAI', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.10212753713130951}]
4	{'data': 'google-bert/bert-base-uncased', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': 'google-bert', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': Timestamp('2022-03-02 23:29:04+0000', tz='UTC'), 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['fill mask'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['bookcorpus', 'wikipedia'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': '[CLS]', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.23093131184577942}]	{'data': {'data': ['bookcorpus', 'wikipedia'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': {'data': ['bookcorpus', 'wikipedia'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': '[CLS]', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.22914651036262512}]	[{'data': '[CLS]', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.1586027294397354}]	[{'data': '[CLS]', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.21457310020923615}]	[{'data': '[CLS]', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.23381927609443665}]	[{'data': '[CLS]', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.23263292014598846}]	{'data': ['1810.04805'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': '[CLS]', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.1862080991268158}]	{'data': ['apache-2.0'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['en'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['transformers', 'pytorch', 'jax', 'rust', 'onnx', 'safetensors'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': '[CLS]', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.10725262761116028}]
5	{'data': 'CAMeL-Lab/bert-base-arabic-camelbert-mix-pos-egy', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': 'CAMeL-Lab', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': Timestamp('2022-03-02 23:29:04+0000', tz='UTC'), 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['token classification'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': '12', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.20432844758033752}]	{'data': {'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': {'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'CAMeLBERT-Mix POS-EGY', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.0018236850155517459}]	[{'data': '12 datasets', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.024078188464045525}]	[{'data': 'more important than the pre-training data size', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 1.724358298815787e-05}]	[{'data': 'Variant, Size, and Task Type', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.002081586280837655}]	[{'data': 'Variant, Size, and Task Type', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.02700541913509369}]	{'data': ['2103.06678'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'scaled-down set of the MSA variant', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.0009599358891136944}]	{'data': ['apache-2.0'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['ar'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['transformers', 'pytorch'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'Modern Standard Arabic (MSA), dialectal Arabic, and classical Arabic', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.02278565987944603}]
6	{'data': 'tohoku-nlp/bert-base-japanese', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': 'tohoku-nlp', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': Timestamp('2022-03-02 23:29:05+0000', tz='UTC'), 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['fill mask'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['wikipedia'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'WordPiece algorithm', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.03977341949939728}]	{'data': {'data': ['wikipedia'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': {'data': ['wikipedia'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'BERT base model', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.4635535776615143}]	[{'data': '1M training steps', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 9.21803257369902e-06}]	[{'data': '12 layers, 768 dimensions of hidden states, and 12 attention heads', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 1.6510809928149683e-06}]	[{'data': '1M', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.0004916482721455395}]	[{'data': '12 layers, 768 dimensions of hidden states, and 12 attention heads', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 5.334164825399057e-07}]	{'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'Japanese Wikipedia', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.02357877977192402}]	{'data': ['cc-by-sa-4.0'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['ja'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['transformers', 'pytorch', 'jax'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'BERT base model', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.001169008668512106}]
7	{'data': 'sentence-transformers/all-MiniLM-L6-v2', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': 'sentence-transformers', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': Timestamp('2022-03-02 23:29:05+0000', tz='UTC'), 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['feature extraction', 'sentence similarity'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['s2orc', 'flax-sentence-embeddings/stackexchange_xml', 'ms_marco', 'gooaq', 'yahoo_answers_topics', 'code_search_net', 'search_qa', 'eli5', 'snli', 'multi_nli', 'wikihow', 'natural_questions', 'trivia_qa', 'embedding-data/sentence-compression', 'embedding-data/flickr30k-captions', 'embedding-data/altlex', 'embedding-data/simple-wiki', 'embedding-data/QQP', 'embedding-data/SPECTER', 'embedding-data/PAQ_pairs', 'embedding-data/WikiAnswers'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': '128 tokens', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 1.4129298506304622e-05}]	{'data': {'data': ['s2orc', 'flax-sentence-embeddings/stackexchange_xml', 'ms_marco', 'gooaq', 'yahoo_answers_topics', 'code_search_net', 'search_qa', 'eli5', 'snli', 'multi_nli', 'wikihow', 'natural_questions', 'trivia_qa', 'embedding-data/sentence-compression', 'embedding-data/flickr30k-captions', 'embedding-data/altlex', 'embedding-data/simple-wiki', 'embedding-data/QQP', 'embedding-data/SPECTER', 'embedding-data/PAQ_pairs', 'embedding-data/WikiAnswers'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': {'data': ['s2orc', 'flax-sentence-embeddings/stackexchange_xml', 'ms_marco', 'gooaq', 'yahoo_answers_topics', 'code_search_net', 'search_qa', 'eli5', 'snli', 'multi_nli', 'wikihow', 'natural_questions', 'trivia_qa', 'embedding-data/sentence-compression', 'embedding-data/flickr30k-captions', 'embedding-data/altlex', 'embedding-data/simple-wiki', 'embedding-data/QQP', 'embedding-data/SPECTER', 'embedding-data/PAQ_pairs', 'embedding-data/WikiAnswers'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'Sentence-Transformers', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.0015394422225654125}]	[{'data': 'clustering or semantic search', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.004939008504152298}]	[{'data': 'automated evaluation of this model', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 9.756165127328131e-06}]	[{'data': 'TPU v3-8', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.0011639489093795419}]	[{'data': 'TPU v3-8', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 2.276356781294453e-06}]	{'data': ['1904.06472', '2102.07033', '2104.08727', '1704.05179', '1810.09305'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': '384 dimensional dense vector space', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.00019294196681585163}]	{'data': ['apache-2.0'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['en'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['sentence-transformers', 'pytorch', 'rust', 'safetensors', 'transformers'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'Hugging Face', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.39403122663497925}]
8	{'data': 'mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': 'mrm8488', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': Timestamp('2022-03-02 23:29:05+0000', tz='UTC'), 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['text classification'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['financial_phrasebank'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'agreement rate of 5-8 annotators', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.6045812368392944}]	{'data': {'data': ['financial_phrasebank'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': {'data': ['financial_phrasebank'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'RoBERTa-base model', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.07886247336864471}]	[{'data': 'hyperparameters', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.09674705564975739}]	[{'data': '1.12.1\n- Tokenizers 0.10.3', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.1959497481584549}]	[{'data': 'The following hyperparameters', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.07028842717409134}]	[{'data': 'hyperparameters were used during training', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.0008799687493592501}]	{'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': '4.10.2\n- Pytorch', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 1.0802537872223184e-05}]	{'data': ['apache-2.0'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': None, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['transformers', 'pytorch', 'tensorboard', 'safetensors'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': '4.10.2\n- Pytorch', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.052957020699977875}]
9	{'data': 'distilbert/distilbert-base-uncased', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': 'distilbert', 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': Timestamp('2022-03-02 23:29:04+0000', tz='UTC'), 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['fill mask'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['bookcorpus', 'wikipedia'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': '[CLS]', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.23583264648914337}]	{'data': {'data': ['bookcorpus', 'wikipedia'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': {'data': ['bookcorpus', 'wikipedia'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}, 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': 'distilbert-base-uncased', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.329690545797348}]	[{'data': '[CLS]', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.23366063833236694}]	[{'data': '[CLS]', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.2235749512910843}]	[{'data': '[CLS]', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.2174941748380661}]	[{'data': '[CLS]', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.2188216596841812}]	{'data': ['1910.01108'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': '[CLS]', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.22288861870765686}]	{'data': ['apache-2.0'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['en'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	{'data': ['transformers', 'pytorch', 'jax', 'rust', 'safetensors'], 'extraction_method': 'Parsed_from_HF_dataset', 'confidence': 1.0}	[{'data': '[CLS]', 'extraction_method': 'Intel/dynamic_tinybert', 'confidence': 0.2178138792514801}]
