key	value_paths
schema.org:identifier	id,manifest.id_emoji
fair4ml:modelCategory	manifest.weights.pytorch_state_dict.architecture.callable
fair4ml:sharedBy	manifest.uploader.name,manifest.uploader.email,created_by
fair4ml:testedOn	manifest.test_inputs,manifest.test_reports.reports
fair4ml:trainedOn	manifest.training_data.id
fair4ml:intendedUse	manifest.description
codemeta:readme	config.zenodo.links.latest_html
codemeta:referencePublication	config.zenodo.doi_url
schema.org:citation	manifest.cite
schema.org:maintainer	manifest.maintainers
schema.org:author	manifest.authors
schema.org:license	manifest.license
schema.org:name	manifest.name
schema.org:keywords	manifest.tags
schema.org:version	versions
schema.org:codeRepository	git_repo
schema.org:datePublished	config.zenodo.metadata.publication_date
schema.org:conditionsOfAccess	config.zenodo.metadata.access_right
schema.org:dateCreated	created_at
schema.org:dateModified	last_modified
fair4ml:usageInstructions	config.zenodo.links.latest_html
schema.org:archivedAt	config.zenodo.links.record_html
codemeta:buildInstructions	manifest.badges.url
codemeta:developmentStatus	manifest.test_reports.status
codemeta:issueTracker	manifest.test_reports.reports
schema.org:releaseNotes	config.zenodo.notes
schema.org:url	config.zenodo.links.html
schema.org:description	manifest.description
